題號,題目,選項A,選項B,選項C,選項D,Answer
25,(113-2) 為增進 ESG 基金商品資訊揭露，集保公司擬於何處建置境外 ESG 基金專區並優化投信 ESG 基金專區？,公開資訊觀測站,證交所網站,基金觀測站,集保平台,3
26,(113-2) 氣候相關財務揭露工作小組(TCFD)對於四項核心要素當中的指標和目標，哪一個描述正確？,是指組織如何鑑別、評估和管理氣候相關風險,是指組織業務、策略和財務規劃，揭露實際及潛在與氣候相關的衝擊,是指組織與氣候相關風險與機會的治理情況,是指針對重大性的資訊，揭露用於評估和管理氣候相關議題的指標和目標,4
27,(113-2) 下列哪一個永續資訊框架，有明確的產業指引，讓企業依循明確的 ESG 議題範圍進行揭露？,SASB,IFRS S1,TCFD,GRI,1
28,(113-2) 在臺灣，會計師依據以下哪一號準則規範，進行永續報告書標的資訊之確信工作？,審計準則 220 號「查核歷史性財務資訊之品質管制」,確信準則 3000 號「非屬歷史性財務資訊查核或核閱之確信案件」,確信準則 3410 號「溫室氣體聲明之確信案件」,審計準則 720 號「其他資訊之閱讀與考量」,2.3
29,(113-2) 氣候相關財務揭露工作小組(TCFD)，是由哪一個組織召集？,金融穩定委員會(FSB),聯合國(UN),永續會計準則委員會(SASB),國際永續準則委員會(ISSB),1
30,(113-2) 氣候相關財務揭露工作小組(TCFD)對於四項核心要素當中的治理，哪一個描述正確？,是指組織如何鑑別、評估和管理氣候相關風險,是指組織業務、策略和財務規劃，揭露實際及潛在與氣候相關的衝擊,是指組織與氣候相關風險與機會的治理情況,是指針對重大性的資訊，揭露用於評估和管理氣候相關議題的指標和目標,3
31,(113-2) 國際永續準則理事會(ISSB)，於 2023 年中正式發布永續揭露準則第 S1 號，下列描述何者正確？,又稱為「氣候相關揭露」,揭露建議並非以投資人的觀點來設計,對重大永續相關風險及機會提供揭露指引，並未要求明確揭露公司永續及財務資訊間的關聯,參酌現有永續相關框架制定，包含治理、策略、風險管理及指標與目標等四大構面,4
32,(113-2) 氣候變遷可能對組織造成財務衝擊，如損害資產或供應鏈中斷等影響，包含颱風、龍捲風、洪水等極 端氣候事件。氣候相關財務揭露工作小組(TCFD)建議當中，上面的描述被歸類在實體風險當中的哪 一種風險？,立即性風險(Acute Risk),市場風險(Market Risk),長期性風險(Chronic Risk),技術風險(Technology Risk),1
33,(113-2) 依現行「永續報告書作業辦法」須編製與申報中文永續報告書的金融保險業公司，哪一項描述最正確？,資本額達新台幣 100 億元以上,資本額達新台幣 50 億元以上,資本額達新台幣 20 億元以上,不分資本額的上市櫃公司,4
34,(113-2) 「永續報告書作業辦法」規範企業未納入盤查計算之營運據點或子公司占總排放量之比重上限為 5% 的原因？,可靠性,可比性,一致性,完整性,4
35,(113-2) 根據「保險業氣候相關風險財務揭露指引」，保險業氣候相關風險之風險管理機制包括下列何者？,風險管理及監控,情境分析及壓力測試,投資管理,以上皆是,4
36,(113-2) 下列何者是指國際財務報導準則基金會？,TCFD,IFRS,SASB,IASB,2
37,(113-2) 最早適用我國 IFRS 永續揭露準則的上市櫃公司，哪一項敘述正確？,資本額達 100 億元以上,資本額達 80 億元以上,資本額達 50 億元以上,資本額達 20 億元以上,1
38,(113-2) 下列哪一個永續資訊框架，參考了 TCFD 的框架，也參考了 SASB 的特定行業指引，讓企業能有更明 確的指引將永續相關風險與機會呈現於財務報告上？,IASB,TNFD,CDP,IFRS S1/S2,4
39,(113-2) 「編製與申報永續報告書作業辦法」規範企業得自願揭露溫室氣體排放的範疇為何？,範疇一,範疇二,範疇三,範疇一、二、三,3
40,(113-2) 溫室氣體盤查主要依循的四個步驟，正確順序為何？ 甲.決定排放量計算方式；乙.選擇合適的排放 係數；丙.蒐集活動數據；丁.計算溫室氣體排放量,丁、丙、乙、甲,甲、丙、乙、丁,丙、乙、甲、丁,乙、甲、丙、丁,2
41,(113-2) 根據「本國銀行氣候風險財務揭露指引」，下列何者為銀行對於氣候風險高之業務或交易應報經核定 之單位，並留存相關紀錄備查？,股東會,董事會,總經理,高階管理階層,4
42,(113-2) 永續會計準則委員會(SASB)2018 年 11 月公布 5 大永續面向，哪一個不包含在內？,商業模式與創新(Business Model & Innovation),人力資本(Human Capital),社會資本(Social Capital),自然資本(Natural Capital),4
43,(113-2) 氣候相關財務揭露工作小組(TCFD)對於主要財務影響分類的指引，針對企業資產負債表當中的資本和 融資的揭露建議，下列何者正確？,氣候相關風險與機會可能導致組織債務期限延長,氣候相關風險與機會可能會讓組織透過增加負債規模來補償減少的營運現金流、新的資本支出或研 發資金，以改變組織的負債和股權結構,氣候相關風險與機會目前還不會影響組織資本、營運損失準備金等,氣候相關風險與機會不會影響組織籌集新債或是對現有債務再融資的能力,2
44,(113-2) SASB 準則五大面向當中的環境(Environment)提及生態衝擊(Ecological Impacts)議題，下列何者描述不 正確？,此議題涵蓋氣候變化氣候變遷對生態系統和生物多樣性的影響,此議題涉及公司通過活動對生態系統和生物多樣性的影響的管理,影響包括但不限於規劃、土地徵用、許可、開發、運營和場地修復等各個階段的生物多樣性喪失、 棲息地破壞和森林砍伐,包括但不限於勘探用地、自然資源開採和種植，以及項目開發、建設和選址,1
45,(113-2) 下列何者不屬於 GRI 允許的省略理由之一？,不適用,無行業準則,法律禁令,保密規定限制,2
46,(113-2) 「編製與申報永續報告書作業辦法」規定揭露哪一個單位監督及治理氣候相關資訊？,每一個員工,永續委員會/ESG 委員會,永續委員會/ESG 委員會轄下之各小組領導,董事會與管理階層,4
47,(113-2) 依據「本國銀行氣候風險財務揭露指引」，銀行應對實體風險與轉型風險進行情境分析與壓力測試， 其下列哪項特性敘述錯誤？,評估氣候風險對其業務之影響,探索在不同氣候情境下自身對氣候風險之韌性,選取之情境應以歷史資料為主，避免使用前瞻性資訊，以產生不確定性之結果,應選取與銀行相關且合理之情境,3
48,(113-2) 資本額 50~100 億元公司，規定哪一年揭露合併報表子公司的溫室氣體盤查資訊？,114 年,115 年,116 年,117 年,2
49,(113-2) 金融機構協助減緩少子化風險的作為有哪些？,凍卵險,完善的育嬰留職停薪制度,生育保險,以上皆是,4
50,(113-2) IPCC「2022 氣候變遷：影響、調適與脆弱性」報告中，針對沿海社會生態系統的風險提出調適選項， 下列何者為其選項？,改善排水,海堤和海岸養護,抬高沿海道路,以上皆是,4
51,(113-2) 金融機構提供青年安心成家貸款、延長貸款期限或寬限期有助於達成哪一項永續目標（或減緩哪一個 風險）？,消除貧窮,缺乏居住正義,城鄉差距擴大,超高齡化,2
52,(113-2) 下列何者不是溫室氣體？,水蒸氣,一氧化二氮,氨氣,二氧化碳,3
53,(113-2) 下列何者為立即性的氣候實體風險？,海平面上升,颱風,全球暖化,冰川消融,2
54,(113-2) 下列何者非金融機構面對治理風險的作為？,與大學產學合作,董事會成員多元化,誠信經營,成立薪酬委員會,1
55,(113-2) 全球暖化趨勢下，臺灣受到淹水影響最顯著的地區位在何處？,西南沿海,北海岸,花東海岸,桃竹苗海岸,1
56,(113-2) 根據世界經濟論壇《2023 全球風險報告》，未來 10 年內影響全球的前 4 大風險都是屬於哪一類型的 風險？,環境風險,社會風險,治理風險,戰爭風險,1
57,(113-2) 根據 IPCC《氣候變遷與土地(Climate Change and Land)》特別報告，受到土地劣化（土壤肥沃度喪失、 經濟生產力的惡化或野生動植物多樣性下降等）影響的人口數為何？,1-3 百萬人,1-3 千萬人,1-3 億人,10 億人以上,3
58,(113-2) 針對臺灣社會超高齡化的危機，金融機構可以協助調適該風險的金融工具為何？,安養信託,以房養老,即期年金險,以上皆是,4
59,(113-2) 土地甲烷排放的最主要來源為何？,工業,農業,畜牧業,運輸業,3
60,(113-2) 根據劍橋大學風險管理研究中心公布的「2015─2025 城市風險指標」研究，對臺北市造成經濟損失最 大的風險為：,戰爭,風暴（颱風）,地震,金融,2
61,(113-2) 為解決氣候變遷的問題，國際上常由公私部門共同建立災害保險計畫，以保障極端氣候所造成的損失。 請問該保險可能是哪一種綠色保險？,參數型天氣保險,氣候保險,能源效率保險,節能保險,2
62,(113-2) 銀行 A 推出一貸款專案，該專案之資金僅能全數用於綠色支出，請問該專案最可能為什麼類型的授信？,綠色授信,社會授信,永續授信,永續連結授信,1
63,(113-2) 以下何種債券類別募集的資金，發行人較能自由決定債券的資金用途，增強公司資金運用靈活度，但 需訂定可持續發展關鍵績效指標(KPI)、可持續發展績效目標(SPT)，以及連結債券本息支付條件設計 等機制，來確保發行公司將永續發展納入到其經營策略與商業模式中？,綠色債券,社會債券,轉型債券,可持續發展連結債券,4
64,(113-2) 以下何者為 ESG 評比環境項目常見之指標？,廢棄物,風險管理,反貪腐,董事獨立性,1
65,(113-2) 永續投資中金融業的角色為何？ 甲.符合股東及社會長期最佳利益；乙.引導資金流向永續發展相關 項目；丙.協助不利永續發展之產業轉型,僅甲、乙,僅甲、丙,僅乙、丙,甲、乙、丙皆是,4
66,(113-2) 公司 A 發行公司債籌資，且其籌得資金將全部用於廢棄物回收處理投資，試問該債券可以申請何種債 券認可？,綠色債券,社會責任債券,可持續發展債券,以上皆是,1
67,(113-2) 公司 B 向銀行申請一筆貸款，其資金用途係用作身心障礙者的職能培訓之項目，請問公司 B 最適合申 請之授信為何種類型？,綠色授信,社會授信,永續授信,永續連結授信,2
68,(113-2) 下列何種貸款之資金應全部用於能夠發揮環境及社會影響力之專案？,綠色貸款,社會貸款,永續貸款,永續連結貸款,3
69,(113-2) 下列何者為綠色保險的主要目的？,減輕意外發生時的經濟負擔,提高環境治理與監管之水準,達到節稅的效果,穩定子女及後代的生活,2
70,(113-2) 永續投資的主要目標是什麼？,最大限度減少自然和社會資源的消耗,創造最大的經濟價值,高風險高報酬的投資,僅投資慈善相關企業,1
71,(113-2) 永續連結貸款(SLL)需訂立永續發展績效目標(SPT)和關鍵績效指標(KPI)，下列何者非永續發展績效目 標和關鍵績效指標？,生物多樣性,污染程度,溫室氣體排放量,再生能源安裝量,2
72,(113-2) 各國主管機關所發布之盡職治理守則，主要規範對象為以下何者？,上市櫃公司,一般投資人,機構投資人,理財顧問,3
73,(113-2) 以下何者非永續金融評鑑的推動目的？,協助國內金融業因應氣候變遷及 ESG 相關風險能力,引導金融業以捐助方式來協助解決社會問題,鼓勵表現優良業者發揮業界的標竿功能，加速推動國內永續金融生態圈的建構,引導金融業在擬定永續經營策略及採取行動方案時，能與國內現行推動之政策重點及監理方向同步,2
74,(113-2) 以下有關永續貸款原則之敘述何者是正確的？,綠色貸款原則、社會責任貸款原則以及永續連結貸款原則皆是由貸款市場協會(LMA)、亞太地區貸 款市場協會(APLMA)與貸款聯合組織貿易協會(LSTA)所合作制定,綠色貸款原則、社會責任貸款原則以及永續連結貸款原則皆是強制性原則,綠色貸款原則、社會責任貸款原則以及永續連結貸款原則皆無限定之貸款資金用途,綠色貸款原則、社會責任貸款原則以及永續連結貸款原則皆需設定永續發展績效目標(SPT),1
75,(113-2) 何者最符合綠色授信的概念？,一條關於銀行授信的法規，要求所有借款人皆須符合最低 ESG 標準,一種融資形式，使借款人能將貸款用於環境保護或氣候相關支出,一條國際準則，規範銀行審核綠色企業貸款相對於總貸款金額的比例,一種獎勵機制，符合環保或低碳的企業可以向政府申請貸款利率補助,2
76,(113-2) 下列何者為環境汙染責任保險與傳統汙染責任保險的差異？,臺灣未有環境汙染責任保險,承保污染的整治費用,承保突發或意外的汙染,承保第三人體傷或財產的損害,2
77,(113-2) 有關可持續發展連結債券(Sustainability linked bonds)之敘述，何者最為符合？,僅可持續發展績效優於同業者，得發行可持續發展連結債券,債券本息支付條件與發行人可持續發展績效目標相連結之債券,可持續發展連結債券所募集之資金全數用於綠色投資計畫或社會效益投資計畫,以上皆非,2
78,(113-2) 若公司施行責任投資原則(PRI)，則該公司滿足永續保險原則(PSI)的哪一原則？,原則一：將與保險業相關的 ESG 議題融入公司決策中,原則二：與客戶和業務合作夥伴合作，以提高對 ESG 議題的意識，並一同管理風險並制定解決方案,原則三：與各國政府、監管機構和其他主要利益攸關方合作，推動全社會為 ESG 議題採取廣泛行動,原則四：透明揭露永續保險原則實行狀況，並將定期揭露視為責任,1
79,(113-2) 下列有關於永續保險原則(PSI)之敘述何者錯誤？,永續保險原則為第一個針對保險業的框架,由聯合國環境規劃署金融倡議機構啟動,必須將巴黎協定整合至業務發展中,提供保險公司及其利害關係人具體的永續作為,3
80,(113-2) 因應減碳目標，在建構以達成減碳為主題的指數時，以下哪個碳排放指標在減碳上是對全球暖化問題 較有顯著的影響？,範疇一,範疇二,範疇三,以上皆非,3
1,(113-3) 若投資決策對於永續造成「主要不利衝擊」(PAIs)須加以揭露；這是屬於下列哪方面的資訊揭露？,永續性風險政策,產品的獲利性揭露,不利的永續性影響,產品級別揭露,3
2,(113-3) 我國推動上市櫃公司永續發展行動方案，擴大永續資訊揭露範圍，將自哪一年推動 20 億元以下的上 市櫃公司編製永續報告書？,2023 年,2024 年,2025 年,2026 年,3
3,(113-3) 因應企業碳盤查需求，對於盤查對象及查驗機構採哪一種方式管理？,分類管理,分群管理,分級管理,統一管理,3
4,(113-3) 上市上櫃公司永續發展實務守則中，為健全永續發展之管理，推動永續政策需定期向哪一個單位報告？,總經理會議,公司業務會議,股東會,董事會,4
5,(113-3) 根據永續金融揭露規範(SFDR)真正具有落實 ESG 精神的基金，至少必須符合以下哪些規定？,Article 6 或 Article 7,Article 7 或 Article 8,Article 8 或 Article 9,Article 6、（113-3）Article 7 及 Article 9,3
6,"(113-3) 政府間氣候變遷專門委員會(IPCC)第六次評估報告，第一工作小組(Working Group I, WGI) 於 2021 年 8 月 9 日，發布《氣候變遷 2021：物理科學基礎》(Climate Change 2021：The Physical Science Basis) 報 告，其主要探討以下哪個議題？",氣候變遷對世界的影響,減緩氣候變遷的進展和承諾進行最新的全球評估,強調氣候變遷、人類社會、生態系統之間的互動,全球暖化,4
7,(113-3) 國際清算銀行(BIS)於 2020 年 1 月 20 日發佈報告，報告中提及氣候變遷可能帶來哪一項事件，並引 發全球金融危機？,黑天鵝事件,綠天鵝事件,灰犀牛事件,綠犀牛事件,2
8,(113-3) 2019 年 12 月時，歐盟委員會提出「歐洲綠色新政」(European Green Deal)，宣示歐洲將於 2050 年 實現以下哪個減碳目標，並將此納入具有約束力的《歐洲氣候法》(European Climate Law)？,淨零排放(Net zero),碳中和(Carbon Neutrality),負碳排(Carbon Negative),零碳排(Carbon Free),1.2
9,(113-3) 歐盟發布「永續金融揭露規範」(SFDR)規定，旨在對哪些對象，必須公開揭露所投資企業的 ESG 落 實狀況，並加強 ESG 相關資訊強制揭露義務？,個別投資者,排碳大戶,上市櫃企業,投資公司、基金公司、保險公司等主要金融市場參與者,4
10,(113-3) 歐盟於 2020 年 6 月發布下列哪個標準，並在同年 7 月 12 日生效，界定「永續的經濟活動」，成 為多數國家制定相關標準或指引的參考？,歐盟永續分類標準(EU Taxonomy),歐洲綠色政綱(European Green Deal),碳邊境調整機制(CBAM),企業永續報告指令(CSRD),1
11,(113-3) 締約國皆同意要求具體減排的第一個公約為以下何者？,京都議定書(Kyoto Protocol),巴黎協定(Paris Agreement),格拉斯哥氣候協議(Glasgow Climate Pact),利馬氣候行動呼籲(Lima Call for Climate Action),1
12,(113-3) ESG 涵蓋內容不包含以下何者？,社會責任,環境保護,公司治理,政府保護,4
13,(113-3) 根據上市櫃公司永續發展行動方案，優先推動哪些公司設置永續委員會？,上市公司,上櫃公司,上市櫃公司,興櫃公司,3
14,(113-3) 國家自主貢獻(NDCs)起緣於哪個協定要求各國應提出在 2020 年以後的氣候行動目標？,京都議定書(Kyoto Protocol),格拉斯哥氣候協議(Glasgow Climate Pact),哥本哈根協定(Copenhagen Accord),巴黎協定(Paris Agreement),4
15,(113-3) 有關非財務報告指令(NFRD)之敘述，下列何者正確？,"目前適用於員工人數超過 1,000 人的大型公司",目前適用與公眾利益不相關的大型公司,大型企業必須揭露包括環境問題及社會議題,大型企業必須揭露包括經濟議題,3
16,(113-3) 有關企業永續報告指令(CSRD)與取代非財務報告指令(NFRD)所增加的內容，下列敘述何者正確？,NFRD 強調企業必須基於雙重重大性(Double Materiality)原則作為永續資訊揭露的基礎,ESRS 引入根據 CSRD 更詳細的報告要求,CSRD 規定企業無需揭露反腐敗和賄賂相關資訊,CSRD 強調企業必須需揭露「影響重大性(Impact Materiality)」和「財務重大性(Financial Materiality)」 兩方面之資訊,4
17,(113-3) SDGs 的 17 項永續發展核心目標，17 大項不包含下列何者？,消除各地一切形式的貧窮,落實性別平等、婦女平權,落實永續消費及生產模式,確保食品安全,4
18,(113-3) 以下何者不是歐盟為篩選符合永續活動之標準，於 2023 年 6 月 13 日公布另外 4 項環境目標的細項指 引？,經濟成長與資源消耗脫鉤,生物多樣性及生態系統的保護與復原,水及海洋資源的永續性及保育,汙染防治與控制,1
19,(113-3) 關於歐盟永續分類標準(EU Taxonomy)的敘述，下列何者正確？,評估主體從「經濟活動企業」整體轉向「企業」本身，使企業、投資者能有共通標準,建構永續經濟活動的共同分類系統，僅提供股東了解企業永續活動,分類規則的作用在於協助公司進行低碳轉型，以防止漂綠,達到歐盟綠色新政所設立之於 2050 達到淨零碳排的目標,3
20,(113-3) 我國推動綠色金融行動方案 3.（113-3）0，就資金面向之相關措施內容，下列哪一項不包含在當中？,協助金融機構取得綠色相關產業融資,進行投融資評估及決策、商品設計及與企業議合,辦理永續領域投融資,訂定範疇三之中長程減碳目標與策略,4
21,(113-3) 聯合國永續發展目標 SDGs，其中之一旨在消除各地一切形式之貧窮，下列哪一個不屬於此目標？,終結極端貧困，確保足夠的食物、合適的居所與基本保障,降低各層面的貧困，特別是確保開發中國家之充分就業與社會保護,擴大貧困族群對於社會、政治與經濟事務之參與,提供普及且高品質的義務教育與學前教育,4
22,(113-3) 有關《氣候變遷綱要公約》(UNFCCC)的敘述，下列何者正確？,該公約對個別締約國規定具體需承擔的義務,該公約具有法律上的約束力,該公約並未規定可在後續從屬的議定書中設定強制碳排放限制,各國與會代表會在各年度的會議中，達成相關的決議內容，成為研究國際氣候變遷治理機制之重要依據,4
23,(113-3) 有關《企業永續報告指令》(CSRD)與《非財務報告指令》(NFRD)之關係，以下敘述正確的有幾項？ I. NFRD 取代 CSRD，象徵將 ESG 報導予以強制性；II. NFRD 規範大型企業不須揭露如員工待遇、 尊重人權、反貪汙賄賂及公司董事會的多元化（如年齡、性別、教育和專業背景等）等資訊；III. CSRD  是歐盟第一個對企業規範 ESG 報導的制度；IV. CSRD 只是歐盟永續財務架構的一部份，該架構也包 括金融市場參與者的 ESG 揭露要求，例如永續金融揭露規範(SFDR)以及歐盟分類標準(EU Taxonomy  Regulation),1 項,2 項,3 項,4 項,1
24,(113-3) 下列有關格拉斯哥氣候協議(Glasgow Climate Pact)之敘述，正確的有幾項？ I.協議將原本五年檢視一 次之國家自主貢獻(NDCs)改為三年檢視一次；II.協議中『逐步淘汰』(phase out)對煤炭和化石燃料補助； III.提出全球甲烷承諾(Global Methane Pledge)；IV.敦促已開發國家持續提供資金，協助發展中國家對抗 氣候變遷問題,0 項,1 項,2 項,3 項,3
25,(113-3) 氣候變遷可能對組織造成財務衝擊，如損害資產或供應鏈中斷等影響，包含颱風、龍捲風、洪水等極端氣 候事件。氣候相關財務揭露工作小組(TCFD)建議當中，上面的描述被歸類在實體風險當中的哪一種風險？,立即性風險(Acute Risk),市場風險(Market Risk),長期性風險(Chronic Risk),技術風險(Technology Risk),1
26,(113-3) 國際財務報導準則永續揭露準則（IFRS 永續揭露準則）的 S1/S2 準則，皆參考哪一個永續相關框架 而制定？,PCAF,TCFD,GRI,TNFD,2
27,(113-3) 下列何者為「本國銀行氣候風險財務揭露指引」，要求銀行於定期檢視氣候風險管理政策及作法時， 應參考之資料？,情境分析及壓力測試之結果,金融股市之永續投資分析報告,KOL 之最新言論,客戶滿意度調查結果,1
28,(113-3) 「永續報告書作業辦法」規範 14 個產業應揭露具產業重大性且投資人關注之永續相關指標，企業對 應之產業，係依循何種分類標準準則？,企業自行分類,國內上市櫃公司產業類別,美國 SASB 產業分類,全球行業分類標準(GICS),2
29,(113-3) 關於國際永續準則理事會(ISSB)，於 2023 年中正式發布永續揭露準則 S2，其揭露要求重視的是什麼， 下列何者正確？,僅適用聯合國成員國,僅提供指引，關鍵是當地政策制定者如何將其在地化,僅強調氣候的風險與機會,廣泛考量 ESG 所有面向，評估永續的風險與機會,3
30,(113-3) 「永續報告書作業辦法」規範應專章揭露氣候相關資訊的餐飲業，哪一項描述正確？,餐飲收入占其全部營業收入之比率達 100%,餐飲收入占其全部營業收入之比率達 75%,餐飲收入占其全部營業收入之比率達 50%,餐飲收入占總營收比率達 25%以上,3
31,(113-3) 氣候相關財務揭露工作小組(TCFD)對於四項核心要素當中的策略，哪一個描述正確？,是指組織如何鑑別、評估和管理氣候相關風險,是指組織業務、策略和財務規劃，揭露實際及潛在與氣候相關的衝擊,是指組織與氣候相關風險與機會的治理情況,是指針對重大性的資訊，揭露用於評估和管理氣候相關議題的指標和目標,2
32,(113-3) 「本國銀行氣候風險財務揭露指引」要求銀行針對哪兩項風險進行情境分析與壓力測試，以評估氣候 風險對其業務之影響？ 甲.轉型風險；乙.實體風險；丙.信用風險；丁.市場風險,僅甲、乙,僅甲、丙,僅乙、丙,僅丙、丁,1
33,(113-3) 根據「保險業氣候相關風險財務揭露指引」，保險業進行投資管理時，下列敘述何者正確？ 甲.訂定 適當程序以評估及管理投資標的所涉之氣候相關風險；乙.就涉及較高氣候相關風險之投資標的應有額 外之審查機制；丙.定期評估投資標的所涉氣候相關風險之變動，以作為調整投資部位之依據,僅甲,僅乙、丙,僅甲、丙,甲、乙、丙皆是,4
34,(113-3) 最早適用我國 IFRS 永續揭露準則的上市櫃公司是哪一年會計年度？,2025 年,2026 年,2027 年,2028 年,2
35,(113-3) 下列何者尚未納入證券期貨業揭露碳盤查時程？,非屬上市上櫃公司子公司之綜合證券商,上市上櫃公司子公司之綜合證券商,證券投資信託事業,證券投資顧問事業,4
36,(113-3) 有關 GRI 準則中對於決定重大主題時，組織鑑別衝擊的相關敘述，下列何者正確？,可以使用第三方評估所得的資訊,不可以使用第三方評估所得的資訊,不可以使用自己評估所得的資訊,只可以使用自己評估所得的資訊,1
37,(113-3) 相較於其他永續框架與揭露指南，SASB 準則具有以下特性，哪一項是錯誤的？,符合成本效益原則,揭露具財務重大的永續資訊,無特定行業分類，皆能適用,決策有用性,3
38,(113-3) 氣候相關財務揭露工作小組(TCFD)的四項核心要素，下列何者錯誤？,治理：該組織針對氣候相關風險與機會的治理,策略：氣候相關風險與機會對於組織的業務、策略和財務規劃的實際和潛在衝擊,風險管理：組織鑑別、評估和管理氣候相關風險的流程,指標和目標：用以評估和管理企業內部短中長期的業績成長,4
39,(113-3) 下列何者為「證券投資信託事業證券投資顧問事業環境、社會及治理(ESG)投資與風險管理作業流程暨 ESG 資訊揭露實務指引」中，鼓勵證券投資信託事業及證券投資顧問事業於永續報告書或網站中揭露 之內容？ 甲. ESG 投資與風險管理之治理機制運作情形；乙.辨識、評估、管理及監控 ESG 相關風險 之作業程序及管理措施；丙.盡職治理政策及執行情形,僅甲,僅甲、乙,僅甲、丙,甲、乙、丙,4
40,(113-3) 有關組織依循 GRI 進行報導的敘述，下列敘述何者正確？,如果組織未能符合依循 GRI 準則報導的所有要求，仍可以參考 GRI 準則進行報導,如果組織未能符合依循 GRI 準則報導的所有要求，就不可以參考 GRI 準則進行報導,如果組織未能符合依循 GRI 準則報導的所有要求，仍可以聲明已完整依循 GRI 準則,如果組織未能符合依循 GRI 準則報導的所有要求，只要符合九成以上的要求，就可以聲明依循GRI 準則,1
41,"(113-3) 資產管理規模未達 1,000 億之證券投資信託事業，應於哪一年度完成並揭露溫室氣體盤查確信？",116 年,117 年,118 年,119 年,4
42,(113-3) 根據「證券投資信託事業證券投資顧問事業環境、社會及治理(ESG)投資與風險管理作業流程暨 ESG  資訊揭露實務指引」，下列何者須對 ESG 投資與風險管理負有最終責任？,股東,董事會,高階管理階層,基層員工,2
43,(113-3) 在確信準則 3000 號中所提到的「不實表達」指的是：,適當方所提供之標的資訊為錯誤之資訊,適當方所提供之標的資訊與標的依基準衡量或評估所應有之結果，二者之間之差異,適當方未提供標的資訊之相關佐證文件,以上皆是,2
44,(113-3) SASB 準則五大面向當中的商業模式與創新(Business Model and Innovation)，下列何者是其包含的 ESG  議題？,合理的行銷和廣告(Selling Practices & Product Labeling),產品設計和生命週期管理(Product Design & Lifecycle Management),系統風險管理(Systemic Risk Management),生態衝擊(Ecological Impacts),2
45,(113-3) 屬上市上櫃公司子公司之證券商，及實收資本額達新臺幣二十億元以上但未達五十億元之證券商，應 於哪一個年度編製及發布永續報告書？,112 年,113 年,114 年,115 年,2
46,(113-3) 根據「本國銀行氣候風險財務揭露指引」，以下敘述何者錯誤？,董事會及高階管理階層應將氣候風險因素納入銀行風險胃納、策略及經營計畫中，包括辨識及評估 氣候相關之風險與機會，以及其對銀行策略與計畫之影響,董事會應核定氣候風險管理政策，並據以指導、監督及管理銀行對氣候風險之暴險情形，確保銀行 訂定之定性及定量措施符合其風險胃納,高階管理階層應訂定氣候風險管理之政策、管理制度及監控指標，定期檢視其有效性與執行情形,銀行應不定期向董事會報告氣候風險之相關資訊，以利董事會及高階管理階層於制定策略規劃及監 控業務時納入考量,4
47,(113-3) 依據溫室氣體盤查作業基本程序，下列描述何者正確？,若企業具有環境部公告納管事業者，該納管事業之盤查邊界由企業自行設定，並依據營運控制權法 區分為直接排放或能源間接排放的單元或程序,金管會要求盤查邊界設定不需要與財務報表一致，但對於子公司溫室氣體排放量納入統計方法並無 規範，僅要求企業內部各子公司必須一致,溫室氣體盤查主要依循四個步驟：決定排放量計算方式、蒐集活動數據、選擇合適的排放係數、計 算溫室氣體排放量,不論依循任何溫室氣體盤查規範，企業都不一定要界定盤查的範圍,3
48,(113-3) 下列何者為「本國銀行氣候風險財務揭露指引」要求銀行訂定高氣候風險資產之管理措施時，至少應 包括考慮哪些因素？ 甲.氣候風險之重大性；乙.銀行對該資產之管理能力；丙.是否有抵減銀行曝險 之替代做法；丁.客戶改善自身氣候風險之意願與能力,僅甲、乙、丁,僅甲、丙、丁,僅甲、乙、丙,以上皆非,3
49,(113-3) 國家災害防救科技中心提供的 3D 災害潛勢地圖包含哪些重要災害資訊？,淹水,土石流,土壤液化,以上皆是,4
50,(113-3) 下列何者為長期性的氣候實體風險？,今年侵台颱風個數比去年多,八八風災重創小林村,卡努颱風重創南投,臺灣夏季增長,4
51,(113-3) 因應傳染性疾病肆虐的新興風險，金融機構可提供什麼金融商品以協助減緩或調適該風險？,微型保單,長照保險,戒菸治療外溢保單,防疫保單,4
52,(113-3) 金融機構中關於氣候風險議題的最高治理單位為何？,董事會,企業永續委員會,風險管理委員會,TCFD 工作小組,1
53,(113-3) 下列何者是氣候變遷的減緩策略？,發展碳捕捉技術,增加再生能源發電,減少食物浪費,以上皆是,4
54,(113-3) 下列哪一種氣體不是我國「溫室氣體減量及管理法」所管制的溫室氣體？,二氧化碳,甲烷,臭氧,六氟化硫,3
55,(113-3) 根據世界經濟論壇《2023 全球風險報告》，未來 10 年內影響全球的前 4 大風險都是屬於哪一類型的 風險？,環境風險,社會風險,治理風險,戰爭風險,1
56,(113-3) 根據《臺灣氣候變遷科學報告 2017-物理現象與機制》報告，未來西北太平洋與侵臺颱風的個數有何趨勢？,增加,不變,減少,資料不足難以判斷,3
57,(113-3) 根據聯合國政府間氣候變遷專門委員會(IPCC)AR6 報告，相對於基期 1850 至 1900 年，21 世紀末的全 球升溫將超過 2°C 的是哪一種情境？,SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-7.0,4
